
---------------------------------------------- [malloc] [cover]
22-May 18:44:13 testc2(1,1)     7.5 sec     4: 15534 of 25105  38.1%     0.54/s
22-May 18:44:14 test214         0.0 sec     3: 15531 of 25105  38.1%   340.17/s
22-May 18:44:14 test213         0.0 sec     2: 15529 of 25105  38.1%   201.31/s
22-May 18:44:17 test206         2.7 sec   221: 15308 of 25105  39.0%    82.45/s
22-May 18:44:37 test206        19.5 sec    24: 15284 of 25105  39.1%     1.23/s
22-May 18:44:37 test212         0.0 sec     8: 15276 of 25105  39.2%   424.74/s
22-May 18:44:38 test212         0.2 sec     2: 15274 of 25105  39.2%     9.43/s
22-May 18:44:38 test128         0.3 sec    41: 15233 of 25105  39.3%   127.02/s
22-May 18:44:39 test82          0.1 sec    16: 15217 of 25105  39.4%   184.12/s
22-May 18:44:43 test229         3.5 sec     9: 15208 of 25105  39.4%     2.58/s
22-May 18:44:44 test229         0.8 sec     1: 15207 of 25105  39.4%     1.22/s
22-May 18:44:45 test144         0.6 sec     2: 15205 of 25105  39.4%     3.61/s
22-May 18:46:13 test14         88.4 sec   662: 14543 of 25105  42.1%     7.49/s
22-May 18:51:04 test14        290.4 sec   118: 14425 of 25105  42.5%     0.41/s
22-May 18:51:13 test180         8.4 sec   128: 14297 of 25105  43.1%    15.17/s
22-May 18:51:17 test236         3.7 sec    74: 14223 of 25105  43.3%    20.12/s
22-May 18:51:20 test232         2.4 sec    22: 14201 of 25105  43.4%     9.04/s
22-May 18:51:40 test228        19.7 sec    27: 14174 of 25105  43.5%     1.37/s
22-May 18:53:43 test154       122.2 sec  1506: 12668 of 25105  49.5%    12.33/s
22-May 18:55:53 test154       129.7 sec     2: 12666 of 25105  49.5%     0.02/s
22-May 18:56:08 test238        14.5 sec    54: 12612 of 25105  49.8%     3.73/s
22-May 18:57:25 test238        76.4 sec     9: 12603 of 25105  49.8%     0.12/s
22-May 18:59:12 test151b      107.3 sec   126: 12477 of 25105  50.3%     1.17/s
22-May 18:59:16 test184         3.2 sec    38: 12439 of 25105  50.5%    11.85/s
22-May 18:59:30 test191        13.3 sec    21: 12418 of 25105  50.5%     1.58/s
22-May 18:59:44 test191        13.8 sec     3: 12415 of 25105  50.5%     0.22/s
22-May 19:08:08 test188       503.5 sec   212: 12203 of 25105  51.4%     0.42/s
22-May 19:09:11 test188        61.7 sec     3: 12200 of 25105  51.4%     0.05/s
22-May 19:09:16 test224         5.1 sec    24: 12176 of 25105  51.5%     4.66/s
22-May 19:09:19 test196         2.4 sec    11: 12165 of 25105  51.5%     4.54/s
22-May 19:09:25 test209         5.3 sec    20: 12145 of 25105  51.6%     3.77/s
22-May 19:09:44 test104        18.9 sec    40: 12105 of 25105  51.8%     2.12/s
22-May 19:09:53 test189         8.8 sec     1: 12104 of 25105  51.8%     0.11/s
22-May 19:11:05 test194        70.8 sec     5: 12099 of 25105  51.8%     0.07/s
22-May 19:11:21 test76         15.8 sec    15: 12084 of 25105  51.9%     0.95/s
22-May 19:12:03 test244        41.7 sec    17: 12067 of 25105  51.9%     0.41/s
[malloc debugging turned off]
22-May 19:12:03 test201         0.0 sec     3: 12064 of 25105  51.9%   627.35/s
22-May 19:12:04 test225         0.1 sec     1: 12063 of 25105  51.9%     6.95/s
22-May 19:12:04 test176         0.1 sec     5: 12058 of 25105  52.0%    67.53/s
22-May 19:12:05 test208         0.0 sec     5: 12053 of 25105  52.0%   278.44/s
22-May 19:12:05 test216         0.1 sec     3: 12050 of 25105  52.0%    35.37/s
22-May 19:12:14 test142         8.0 sec   631: 11419 of 25105  54.5%    78.66/s
22-May 19:17:30 test142       316.0 sec    10: 11409 of 25105  54.6%     0.03/s
22-May 19:17:39 test142         7.8 sec     2: 11407 of 25105  54.6%     0.26/s
